,DP2e,Dist_CBD2,EPC_A_emision,EPC_B_emision,EPC_C_emision,EPC_D_emision,EPC_E_emision,EPC_F_emision,EPC_G_emision,Estado_contemporaneidad_calidad,Ausencia_singulares_presencia_arm_cocina,FIRE_pr,H_tamaviv,Income_Household_2016,Ln_total_pr,Precio_red,Year_1982_2006,Year_After_2007,bool_aire_acondicionado,bool_ascensor,bool_calefaccion,bool_piscina_comunitaria,desplaz_ponderado,dum_mar_200m,grand_terr_20m2,opin_ruido_si_pr,ratio_bano_hab,superficie
49,12.6727183219,2.96974669523082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,14.1587615013,1.4382769093,33363.0874072,11.8130300574,14.0,0.0,0.0,1.0,0.0,1.0,0.0,26.1282334123,0.0,0.0,48.9883319129,0.333333333333,51.0
50,11.1383542973,5.42874961536015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.551563650029264,0.31861815681136274,11.1837274432,1.55166835259,35217.2141572,12.3013828253,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.1742623271,0.0,0.0,44.0252568605,0.333333333333,65.0
51,11.5248276084,4.41264274353023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2063408925795334,-0.07810227032123276,11.0787286758,1.40900155291,30260.7111135,11.7675676833,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9549317367,0.0,0.0,49.5596272468,0.5,60.0
52,11.7946672292,4.52822850933464,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0847663581,1.27031339699,22562.7933029,11.8422292121,12.0,0.0,0.0,1.0,1.0,0.0,0.0,27.710881094,0.0,0.0,36.3559159042,0.333333333333,65.0
53,11.1164855073,5.27318151327939,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5582574048707377,0.21874512927228246,11.0787286758,1.66095207813,35152.6388909,12.1117619661,7.0,0.0,0.0,0.0,1.0,1.0,0.0,24.6409353818,0.0,0.0,41.3619531269,0.333333333333,70.0
54,10.51960115,5.64141198640107,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4648337829219602,0.7464699801651435,11.7422466278,1.34568976293,31622.5813718,12.1547793511,5.0,0.0,0.0,0.0,1.0,1.0,0.0,25.8051716893,0.0,0.0,43.7572398722,0.5,45.0
55,9.92483586914,4.11791719824685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.19777111351316312,0.7099320916957099,11.1115133762,1.3301679643,20043.6264681,12.3238556812,5.0,1.0,0.0,0.0,1.0,1.0,0.0,27.8619578118,0.0,0.0,38.4849255022,0.666666666667,85.0
56,11.8383142533,4.10107620284726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19767362643960704,0.07825726008558742,11.0787315369,1.27439179655,15401.7497846,11.6784399034,0.0,0.0,0.0,1.0,1.0,1.0,0.0,28.5056337857,0.0,0.0,37.2039966511,0.5,51.0
57,10.8487260672,4.25836946892745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4498501588980237,-2.6630967735537423,11.102948904,1.31551419316,19875.737927,11.5125754037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9862803497,0.0,0.0,37.5501773885,0.5,50.0
58,10.2235243956,3.45462800294822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19107735867168943,-0.17256880561206486,14.581281662,1.33594067613,36379.5090909,12.3414772825,6.0,0.0,0.0,0.0,1.0,0.0,0.0,27.1353942108,0.0,0.0,45.2153056112,0.333333333333,60.0
